"Specimen.ID","Acantholumpenus mackayi","Ammodytes hexapterus","Ammodytes personatus","Artedius harringtoni","Aspidophoroides monopterygius","Boreogadus saida","Chitonotus pugetensis","Citharichthys sordidus","Clupea pallasii","Coregonus laurettae","Coregonus spp.","Eleginus gracilis","Eurymen gyrinus","Gadus chalcogrammus","Gadus spp.","Gasterosteus aculeatus","Gasterosteus spp.","Glyptocephalus zachirus","Gymnelus viridis","Gymnocanthus spp.","Gymnocanthus tricuspis","Hemilepidotus spp.","Hippoglossoides elassodon","Hypomesus olidus","Leptoclinus maculatus","Liparis microstomus","Liparis spp.","Liparis tunicatus","Lumpenus sagitta","Mallotus villosus","Melanogrammus aeglefinus","Myoxocephalus spp.","NA.1","NA.10","NA.11","NA.12","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","Nautichthys pribilovius","Oncorhynchus gorbuscha","Oncorhynchus keta","Oncorhynchus kisutch","Ophiodon elongatus","Osmerus mordax","Platichthys stellatus","Pleuronectes quadrituberculatus","Pungitius pungitius","Stenobrachius leucopsarus","Stichaeus punctatus","Thunnus spp.","UNASSIGNED"
"2017206",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,35,0,0,71,0,0,0,0,0,0,0,0,0,0
"2017222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"2017228",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"2021028",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021214",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021BDL-0708Sa",0,0,0,0,0,30,0,0,0,0,0,16233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2750
"2021BDL-0723A",0,26,0,0,0,1344,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022161",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022Beluga-0713-SD",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1611,0,0,0,0,0,0,0,0,0
"2023281",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"2023295",0,0,0,0,0,24,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL17HB001",0,0,0,0,0,0,0,0,0,0,0,20531,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19940,0,0,0,0,0,0,0
"DL17OME001",0,0,0,0,0,0,0,0,0,0,0,35542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,567
"DL18OME001",0,31,0,0,0,0,0,0,0,0,0,26316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL18OME002",0,23,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"DL18OME003",0,0,0,0,0,0,0,0,0,0,0,10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL18OME004",0,0,0,0,0,0,0,0,0,0,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL20OME001",0,0,0,0,0,0,0,0,0,0,0,49244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL20OME002",0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL20OME003",0,0,0,0,0,0,0,0,0,0,0,21653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0
"DL21OTZ007",0,36,0,0,0,0,0,0,0,0,0,6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL22OME001",0,0,0,0,0,0,0,0,0,0,0,8427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"DL22OME002",0,0,0,0,0,0,0,0,0,0,0,8127,0,0,0,0,0,0,0,57,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"DL22OME003",0,64,0,0,0,0,0,0,54,0,0,14299,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,21,0,0
"DL22OME004",0,0,0,0,0,199,0,0,4102,0,0,6509,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
"DL22OME005",0,0,0,0,0,0,0,0,0,0,0,18604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL22OTZ004",0,0,0,0,0,0,0,0,11,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL22SCM001",105,0,0,0,0,0,0,0,268,329,0,546915,0,0,0,113,60,0,0,0,0,0,0,37160,0,0,0,0,0,0,0,674,6770,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706013,0,0,95083,0,0,0,0
"DL23OME001",0,35,0,0,0,0,0,0,0,0,0,30625,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0
"DL23OME002",0,1693,69,0,0,0,0,0,0,0,0,11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME003",0,11,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2060
"DL23SCM001",0,0,0,0,0,0,0,0,0,38,109,3189,0,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0
"EB21GAM031-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483,0,0,0,0,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB21GAM031-S",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB22GAM019-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB22GAM019-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"EB23PH005-S",0,0,0,0,0,0,0,0,25,0,0,9099,0,0,0,0,0,0,0,0,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
"EB23SH008-F",11,0,0,0,0,0,0,0,170,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,27,0,0,0,0,0,0,0,0,0,4218,0,0,0,0,0,822
"EB23SH009-F",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,1517,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24GAM020-F",0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,6166,626,0,0,0,3,0,0,0,0,0,1811,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,8613
"EB24GAM027-S",0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,726
"EB24PH055-F",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24PH055-S",122,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9241,0,94,116,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,331,226,0,0,0,0,0
"EB24PH075-F",0,678,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,1155,0,439,0,1365,0,0,0,0,0,0,72,0,0,0,0,345,0,366,121,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742
"EB24PH075-S",0,6781,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,377,0,1221,407,0,466,0,1540,0,0,0,0,0,0,7,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,27913
"PH22SH004-F",0,0,0,0,0,0,0,0,13232,0,0,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH004-S",0,0,0,0,0,0,0,0,886269,0,0,132972,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
"PH22SH005-F",0,7820,0,0,0,0,0,0,0,0,0,116,0,1007,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH005-S",0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH015-F",0,33,0,0,0,396,0,0,0,0,0,7877,0,0,0,0,0,175,0,772,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,0,0,0,0,0,0,1725,35,321,36,0,127,0,11
"PH22SH015-S",0,0,0,0,0,0,0,0,342865,0,0,332771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140324,0,0,0,0,0,0,0
"PH22SH036-F",0,23,0,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0,0,0,0,0,0,0,0,12851,0,0,33199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,0,0,0
"PH22SH043-F",0,0,0,0,0,0,0,0,9214,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,267
"PH23SH005-F",0,0,0,0,0,0,0,0,12824,0,0,8099,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550
"PH23SH013-F",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH013-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"PH23SH032-F",0,0,0,0,0,0,0,0,143,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
"PH23SH032-S",0,0,0,0,0,0,0,0,5842,0,0,8623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16149,0,0,0,0,0,0,0
"PH24GAM014-F",0,0,0,0,0,0,0,0,0,0,0,0,0,2669,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH24GAM014-S",0,2,0,0,0,0,0,0,40,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
