"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Pungitius pungitius","Myoxocephalus spp.","Hypomesus olidus","Ammodytes hexapterus","Glyptocephalus zachirus","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","ASV29","Gadus chalcogrammus","ASV35","Hemilepidotus spp.","ASV42","Lepidopsetta spp.","Oncorhynchus kisutch","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","ASV79","Eurymen gyrinus","ASV87","Nautichthys pribilovius","Acantholumpenus mackayi","ASV117","Coregonus spp.","Oncorhynchus keta","Oncorhynchus gorbuscha","ASV194","Gadus spp.","Coregonus laurettae"
"WADE-003-008","2017206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,71,0,35,0,12
"WADE-003-001","2023157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
"WADE-003-004","2023295",0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-019","2021BDL-0708Sa",15997,0,5,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-020","2021BDL-0723A",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"WADE-003-025","DL17HB001",20029,0,19431,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",35542,0,284,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",26055,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-028","DL18OME002",1515,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-029","DL18OME003",10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",49189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",21444,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-034","DL21OTZ007",6397,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",8427,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-036","DL22OME002",8127,0,2,0,0,0,0,0,57,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-037","DL22OME003",14235,0,1038,0,0,0,64,0,29,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-038","DL22OME004",6509,4102,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0
"WADE-003-039","DL22OME005",18559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-040","DL22OTZ004",270,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-041","DL22SCM001",527433,0,699662,93248,0,34404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
"WADE-003-042","DL23OME001",30625,0,394,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-043","DL23OME002",11300,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-044","DL23OME003",97,0,64,0,2060,0,11,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-045","DL23SCM001",3189,0,131,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0
"WADE-003-104","EB23PH005-S",9099,25,0,0,1580,0,0,0,0,0,0,3781,0,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-109","EB24GAM027-S",0,0,0,0,726,0,0,0,0,7,0,0,26,0,0,0,0,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,0,0,318,9241,94,0,623,116,331,0,0,123,0,0,0,0,0,0,226,0,0,0,0,122,0,0,0,0,0,0,0
"WADE-003-111","EB24PH075-S",0,0,0,0,12174,0,5702,347,398,0,1349,347,0,0,0,413,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-112","PH22SH004-S",132844,867950,55,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-113","PH22SH005-S",0,310,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",332251,341235,136510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",33150,12851,3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-120","PH23SH032-S",8623,5842,15866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-125","EB21GAM031-F",0,0,0,0,0,0,0,0,0,1686,0,0,0,0,0,0,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-129","EB23SH008-F",555,170,0,0,822,0,0,0,0,0,0,0,4218,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"WADE-003-130","EB23SH009-F",0,0,0,0,0,0,10,157,0,0,53,0,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-131","EB24GAM020-F",0,0,0,0,8613,0,0,0,0,6075,0,0,0,0,328,0,0,0,1811,0,626,0,0,0,0,0,339,0,0,0,0,0,0,0,0
"WADE-003-134","EB24PH075-F",235,0,0,0,2742,0,678,0,0,0,1365,1155,0,345,0,638,0,0,0,0,0,0,0,0,0,366,0,0,121,0,0,0,0,0,0
"WADE-003-135","PH22SH004-F",4082,13232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-136","PH22SH005-F",116,0,0,0,0,0,7820,0,0,0,7,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",7877,0,1725,36,11,0,0,175,745,0,0,0,35,0,0,333,0,396,0,0,0,127,321,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-139","PH22SH043-F",137,8981,617,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-141","PH23SH005-F",8099,12824,0,0,550,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-143","PH23SH032-F",124,143,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-144","PH24GAM014-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
